Indicator,Economic,Environmental,Social,Cluster
Virgin Material Use,1.0,1.0,0.0,6
Fossil Fuel Consumption,1.0,1.0,0.0,7
Average Amount of Raw Material Retained in the Cycle per Citizen per Year,1.0,1.0,0.0,11
Reduction of Toxic Emissions,1.0,1.0,0.0,1
Energy Generated During Waste Treatment and Reused,1.0,1.0,0.0,4
"Resource Efficiency (Labor, Material Inputs, or Energy)",1.0,1.0,0.0,12
Reducing Non-Renewable Resources,1.0,1.0,0.0,7
Reuse of Waste and Reduction of Resource Depletion,1.0,1.0,0.0,4
Renewable-Energy Systems and Efficient Use of Energy,1.0,1.0,0.0,7
Control of Organic Matter from Waste,1.0,1.0,0.0,4
Material Consumption Reduction,1.0,1.0,0.0,7
Use of Local Materials and Secondary Raw Materials,1.0,1.0,0.0,6
Resource-Efficient and Circular Material Life Cycles,1.0,1.0,0.0,8
Increasing Durability of Products,1.0,1.0,0.0,14
Redesign for Reuse and Recycling of Products,1.0,1.0,0.0,11
Prolonging the Lifespan of Products,1.0,1.0,0.0,14
Lifetime Extension Practices,1.0,1.0,1.0,14
Focus on Locally Produced Food,1.0,1.0,0.0,13
Refurbishment and Recycling of Products,1.0,1.0,0.0,11
Remanufacturing Processes Involving Water Use,1.0,1.0,0.0,3
Community-Based Recycling Initiatives,1.0,1.0,1.0,11
local Recycling Rate,1.0,1.0,0.0,11
Thermal Hydrolysis,1.0,1.0,0.0,12
Increase Longevity of Products,1.0,1.0,0.0,14
Make Good Use of Material,1.0,1.0,0.0,6
Lifetime Extension,1.0,1.0,0.0,14
Greenhouse Gas and CO2 Emission Reduction,1.0,1.0,0.0,1
Air Quality Improvements,1.0,1.0,0.0,1
Pollution Reduction,1.0,1.0,0.0,1
Greenhouse Gas Emissions Along a Building's Lifecycle,1.0,1.0,0.0,9
Production of Thermal Energy from Waste Heat,1.0,1.0,0.0,4
Pollution of Resource and Material Reduction,1.0,1.0,0.0,4
Remanufacturing Practices,1.0,1.0,0.0,6
Extended Producer Responsibility (EPR) Initiatives,1.0,1.0,0.0,1
Material and Energy Conservation,1.0,1.0,0.0,12
Resource-Efficient and Circular Material Life Cycles,1.0,1.0,0.0,8
Remanufacturing Processes,1.0,1.0,0.0,6
Extended Producer Responsibility Initiatives,1.0,1.0,0.0,1
Renewable Energy Penetration,1.0,1.0,0.0,12
Access to Electricity,1.0,1.0,0.0,12
Circular Economy (CE) Innovation Budget,1.0,1.0,0.0,15
Renewable Energy Systems Penetration,1.0,1.0,0.0,12
Efficient Use of Energy,1.0,1.0,0.0,7
Grid Integration,1.0,1.0,0.0,13
Energy Consumption,1.0,1.0,0.0,7
Carbon Footprint and Greenhouse Gas Emissions,1.0,1.0,0.0,1
Carbon Storage and Sequestration in Vegetation and Soil,1.0,1.0,0.0,10
Flow of Emissions,1.0,1.0,0.0,12
Material Flow Analysis (MFA),1.0,1.0,0.0,6
Renewable Energy Usage,1.0,1.0,0.0,12
Resource Efficiency and Productivity,1.0,1.0,0.0,7
Total Raw Material Productivity,1.0,1.0,0.0,6
Water Reduction in Production Processes,1.0,1.0,0.0,3
Reduction in Potable Water Consumption,1.0,1.0,0.0,3
Efficient Use of Water Resources,1.0,1.0,0.0,3
Safe Water Accessibility,0.0,1.0,1.0,3
Water Quality and Availability,1.0,1.0,0.0,3
Grey-Water Reuse and Black-Water Recycling,1.0,1.0,0.0,11
Amount of Water Used in Houses,1.0,1.0,0.0,3
Amount of Water Used in Other Sectors,1.0,1.0,0.0,3
Integration of Water Resource Management with Human and Material Potential,1.0,1.0,1.0,3
Strategies to Enhance Material and Human Engagement in Water Conservation,1.0,1.0,1.0,3
Protecting the Natural Environment and Regenerating Natural Systems,0.0,1.0,0.0,10
Air Quality Assessment,1.0,1.0,0.0,1
Virgin Resources Used,1.0,1.0,0.0,7
Biogas Utilization and Impact,1.0,1.0,0.0,7
Ecological Restoration and Biodiversity Enhancement,0.0,1.0,0.0,10
Number of Projects Including Nature-Based Solutions,0.0,1.0,1.0,1
Amount of Financial Support to Implement Nature-Based Solutions,1.0,1.0,0.0,0
Habitat Restoration,0.0,1.0,1.0,10
Pollution Reduction Initiatives,1.0,1.0,0.0,1
Carbon Management Practices,1.0,1.0,0.0,1
Monetary Values of Each Vegetation Community Type,1.0,1.0,0.0,10
Distribution of Public Green Space,0.0,1.0,0.0,5
Amount of Pollutants Captured by Vegetation,1.0,1.0,0.0,10
Adaptation of Green and Blue Infrastructure,1.0,1.0,0.0,5
Restoration of Ecosystem Services,1.0,1.0,0.0,10
Increase in Resilience to Climate Change,1.0,1.0,0.0,2
Adaptation and Resilience to Urban Climate Change,0.0,1.0,1.0,2
Urban Heat Island Effect Mitigation,1.0,1.0,0.0,13
Cost of Grey Infrastructure,1.0,1.0,0.0,5
Eco-Innovation and Eco-Design,1.0,1.0,0.0,1
Life Cycle Assessment,1.0,1.0,0.0,8
Innovation in Environmental Technologies and Processes,1.0,1.0,0.0,15
Innovation in Sustainable Practices and Technologies,1.0,1.0,0.0,15
Developing New Methods for Enhancing Urban Resilience and Sustainability,0.0,1.0,1.0,2
E-Government Initiatives,1.0,1.0,0.0,1
Enforcement of Environmental Regulations,1.0,1.0,0.0,1
Transparent Governance,1.0,1.0,1.0,5
"Public Forums, Community Decision-Making Processes",1.0,1.0,1.0,1
"Specialized Supporting Services (Financial, Knowledge, IT, R&D, etc.)",1.0,1.0,1.0,0
Public Utilities and Transport Services Management,1.0,1.0,1.0,1
Grants from Local and National Governments for Symbiosis Activities,1.0,1.0,1.0,13
Cost of Materials Used in Buildings,1.0,1.0,0.0,6
Waste Collection Costs,1.0,1.0,0.0,4
Demolition and Construction Management Costs,1.0,1.0,0.0,6
Impact of Urban Symbiosis Projects,1.0,1.0,1.0,13
"nergy Recovered from Urban Water, Sewage, and Waste",1.0,1.0,0.0,4
"ircular Economy Policies at City, Regional, and National Levels",1.0,1.0,1.0,15
Incentives to Enhance Circular Economy Transformation,1.0,1.0,1.0,15
R&D Expenditure,1.0,1.0,1.0,7
Patents Related to Circular Economy Technologies and Processes,1.0,1.0,1.0,15
Integration of IoT and AI in CE Initiatives,1.0,1.0,0.0,1
Digital Tools and GIS Applications Integration,1.0,1.0,0.0,9
Smart City and Technology Enhancements,1.0,1.0,1.0,13
Regenerative and Systems Thinking to Promote Long-Term Sustainability,1.0,1.0,1.0,2
Public Awareness Campaigns,1.0,1.0,1.0,1
Community Participation Rates in CE Programs,1.0,1.0,1.0,0
Nature-Based Solution Adoption and Establishment of New Communities,1.0,1.0,1.0,9
Social Innovation and Entrepreneurship,0.0,1.0,1.0,2
Balance Between Women & Men ,1.0,1.0,1.0,7
Heaviest Age Group ,0.0,0.0,1.0,14
Social Equity Level in Low-Income Groups,0.0,0.0,1.0,2
Active Population ,0.0,0.0,1.0,1
"Promoting Social Equity, Justice, and Human Rights",0.0,0.0,1.0,2
Social Capital and Social Well-being,0.0,0.0,1.0,2
Healthcare Access and Quality,0.0,0.0,1.0,0
Fare Accessibility to Services: ,0.0,0.0,1.0,0
Social Inclusion and Cultural Dimension,0.0,0.0,1.0,2
Crime Rates and Safety,0.0,0.0,1.0,0
Citizen Behavior Toward Sustainable Practices,0.0,0.0,1.0,1
Education Quality and Accessibility,0.0,0.0,1.0,0
Training opportunities programs,0.0,0.0,1.0,0
community awareness and education on circular practices,0.0,0.0,1.0,8
Percentage of Space for Ecosystems (Urban Farming) in Spatial Planning,0.0,0.0,1.0,13
Urban Regeneration and Land Use Efficiency,0.0,0.0,1.0,13
"Close Linkage to Use of Resources (e.g., Built Environment and Infrastructures)",1.0,1.0,0.0,9
Number of Projects/Solutions that Reduce Material Consumption and Improve Sustainability,1.0,1.0,0.0,7
Resource Sufficiency and Conservation Efforts,1.0,1.0,0.0,7
Access to Affordable Housing,1.0,0.0,1.0,9
Housing Deficiency,1.0,0.0,1.0,13
Percentage of Inhabitants,0.0,0.0,1.0,13
Building Footprint,1.0,1.0,0.0,9
Co-building; Cohousing & Cooperative Housing,1.0,0.0,1.0,9
Lifecycle of the Building,1.0,1.0,0.0,9
Production of Public Spaces as Places:,1.0,0.0,1.0,13
Activation of Vacant and Unused Spaces,0.0,1.0,1.0,13
Healthy and Comfortable Spaces,0.0,0.0,1.0,13
Quality of Public Spaces in Terms of Attractiveness,0.0,0.0,1.0,13
"Sustainable Urban Design Promoting Renewable Energy, Green Spaces, and Pedestrian-Friendly Streets",0.0,1.0,1.0,13
Built Flexible Environments and Smart Building Sustainable Technologies,1.0,1.0,1.0,9
Urbanization Process Pattern,1.0,1.0,1.0,13
Health Urban Ecology,0.0,1.0,1.0,13
Regenerate and Renovate Existing Structures and Spaces,1.0,1.0,0.0,6
Number of Buildings and Spaces Reused for New Functions,1.0,1.0,0.0,6
Recovery of Abandoned Areas and Adaptation of Existing Infrastructure,1.0,1.0,0.0,13
Control Ecological Footprint of Cities,0.0,1.0,0.0,13
Percentage of Space for (Peri) Urban Farming in Spatial Planning,1.0,1.0,0.0,13
Food Security Measures and Strategies,1.0,0.0,1.0,1
Green Growth Indicators,1.0,1.0,0.0,5
Local Self-Sufficiency,1.0,0.0,1.0,9
Green Infrastructure,1.0,1.0,0.0,5
"Number of Urban Farms, Rooftop Gardens, Community Gardens, and Farmers' Markets",1.0,0.0,1.0,13
Parks and Accessible Pathways,0.0,1.0,1.0,9
Enhancing Urban Green Spaces,0.0,1.0,1.0,13
Percentage of Green Spaces Buildings,1.0,1.0,0.0,5
Use of Recycled and Reusable Materials in Construction,1.0,1.0,0.0,6
Integration of Nature-Based Solutions,1.0,1.0,0.0,13
Biodiversity Diversification,0.0,1.0,0.0,10
Strategies for Enhancing Urban Green Coverage and Ecosystem Connectivity,1.0,1.0,0.0,13
Evaluate Pattern of Forests and Wetlands,0.0,1.0,0.0,10
Public Transport Usage and Electrical Energy Use in Transportation,1.0,1.0,1.0,12
"Transportation Modes such as Public Transit, Biking, and Walking",1.0,1.0,0.0,8
Reduction of Reliance on Single-Occupancy Vehicles and Enhancing Urban Mobility,1.0,1.0,0.0,13
Development of Local Networks and ICT Infrastructure: ,1.0,1.0,0.0,9
Public Transport Links and Accessibility to Public Services,1.0,0.0,1.0,0
Percentage of Road Network Dedicated to Pedestrian Use,0.0,1.0,1.0,13
Cycling Infrastructure,1.0,1.0,0.0,9
Electric Vehicles,1.0,1.0,0.0,1
Walking Distance to Nearest Facilities,0.0,1.0,1.0,13
Economic Value of Property and Land,1.0,0.0,0.0,15
Incentives for Green Businesses,1.0,1.0,0.0,5
Improve Level of Sustainable Supply Chains,1.0,1.0,0.0,5
Design Activity as a Service Model,1.0,0.0,0.0,9
Design New Commercial Activities,1.0,0.0,0.0,9
Level of Export and Import of Goods and Products,1.0,0.0,0.0,15
Investments in the Recycling Process,1.0,1.0,0.0,11
Industry Development Level,1.0,0.0,0.0,15
Average Income and Equality Among Low-Income Groups,1.0,0.0,1.0,0
Adoption rates of circular products and services,1.0,0.0,0.0,15
economic growth linked to CE activities,1.0,0.0,0.0,15
level of local jobs at all skill levels,1.0,0.0,1.0,0
Job creation through circular economy practices,1.0,0.0,1.0,15
revenue generated from circular products and services,1.0,0.0,0.0,15
Product lifespan and durability,1.0,1.0,0.0,14
Engagement with local industries and startups,1.0,0.0,1.0,9
promoting community and public participation in circular practices,1.0,0.0,1.0,8
"investment in local and global market integration, enhancement of local markets",1.0,0.0,0.0,15
"GHG emissions (e.g., CO2, methane), Energy consumption per unit of production, Water usage and water stress levels, Waste generation and recycling rates, Biodiversity indices and species diversity",,,,4
"Emissions levels, Waste diversion rates, Recycling rates, Hazardous waste management, Noise pollution levels",,,,11
"GHG emissions reduction targets, Renewable energy adoption, Climate adaptation plans, Carbon offset projects",,,,1
"Protected areas, Species richness, Habitat restoration projects, Ecosystem services valuation",,,,10
"Land use efficiency, Urban sprawl control, Brownfield redevelopment, Green infrastructure",,,,13
"Water quality, Water recycling rates, Rainwater harvesting, Aquifer recharge initiatives",,,,3
"Particulate matter concentration, NOx and SOx levels, Air quality monitoring systems, Public health impacts",,,,1
"Worker rights policies, Child labor incidence, Workplace safety standards, Human rights training",,,,0
"Community participation in planning, Local advisory councils, Public consultations, Community investment projects",,,,9
"Occupational health standards, Public health services, Disease prevention programs, Mental health support",,,,0
"School enrollment rates, Literacy rates, Vocational training programs, Lifelong learning opportunities",,,,0
"Income equality metrics, Poverty reduction programs, Access to basic services, Anti-discrimination policies",,,,0
"Conservation of historical sites, Promotion of local arts and culture, Heritage education programs",,,,10
"Affordable housing availability, Homelessness rates, Housing quality standards, Urban renewal projects",,,,13
"Revenue growth, Profit margins, Return on investment, Economic value generated",,,,15
"R&D spending, Patents filed, Infrastructure quality, Technological advancements",,,,5
"Market share, Customer satisfaction, Brand reputation, Competitive analysis",,,,5
"Ethical sourcing policies, Supplier diversity, Fair trade practices, Supply chain transparency",,,,5
"Economic diversification, Crisis management plans, Financial stability measures",,,,2
"GDP growth, Employment rates, Investment levels, Economic forecasting",,,,15
"Sustainable product design, Consumer awareness campaigns, Circular economy practices",,,,15
"Unemployment rates, Job satisfaction, Wages and benefits, Worker productivity",,,,0
PM 2.5 Levels,,,,1
Water Usage Efficiency,,,,3
Species at Risk,,,,1
Crop Rotation Adherence,,,,13
Renewable Energy Share,,,,12
School Enrollment Rates,,,,0
Doctor to Patient Ratio,,,,0
Workplace Accidents,,,,0
Community Initiative Participation,,,,1
Diversity Indices,,,,10
GDP Per Capita,,,,15
Banking Penetration,,,,15
Trade Balance,,,,15
Recovery Index,,,,11
Compliance Rates,,,,0
Foreign Direct Investment,,,,15
