Indicator,Assigned_SDG_Class,11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums,11.2.1 Proportion of population that has convenient access to public transport by sex age and persons with disabilities. 11.2 By 2030 provide access to safe affordable accessible and sustainable transport systems for all improving road safety notably by expanding public transport with special attention to the needs of those in vulnerable situations women children persons with disabilities and older persons,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,11.4.1 Total per capita expenditure on the preservation protection and conservation of all cultural and natural heritage by source of funding (public private) type of heritage (cultural natural) and level of government (national regional and local/ municipal) 11.4 Strengthen efforts to protect and safeguard the world's cultural and natural heritage,11.5.1 Number of deaths missing persons and directly affected persons attributed to disasters per 100 000 population. 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations,11.5.2 Direct economic loss attributed to disasters in relation to global gross domestic product (GDP) 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations,11.5.3 Damage to critical infrastructure and (b) number of disruptions to basic services attributed to disasters 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,11.6.2 Annual mean levels of fine particulate matter (e.g. PM₂.₅ and PM₁₀) in cities (population weighted) 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities,"11.7.2 Proportion of persons victim of non-sexual or sexual harassment by sex age disability status and place of occurrence in the previous 12 months ""11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities","11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials
Optimal Reuse of Water,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,0.034568762540634936,0.014193044691027596,0.027448277798895575,0.0340887321889408,-0.01690669683542986,0.012726492702020703,0.007982943687818897,0.012669544924293166,0.0006138837074489165,0.020890621227011824,0.03339151706799811,0.03434362250342955,0.01135540280921159,0.022066016458239017,0.019455371663727766,-0.0009445231884627335
Waste Reduction and Recycling Rates,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,0.009663722770000552,0.017364576372768486,0.012552842416681646,0.011203582402377146,-0.008559568462661156,-0.01751942214839926,-0.01351535607826959,-0.012621127768266172,0.24983230048083274,0.11680437821060678,-0.017863935642393722,-0.009772250149426152,-0.0108848887402919,0.23411189052115158,0.2132986636764445,0.012601147380728735
Waste Disposal into Fresh and Saltwater Bodies,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.010605755965515709,0.0633038322366986,0.031304175069190227,-0.03523955574180926,0.004297795082249629,0.0798462430499154,0.08392795064366342,0.07465289104983322,0.2441559042433539,0.056444409187870706,0.05912573941849918,0.05537970496828675,-0.011300772599765987,-0.03082372320445404,-0.038184180885382814,-0.02792900381617227
Recovery and Reuse of Water Resources,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,0.01920211317298621,0.005217378225418745,0.02065939088781669,0.042283989489592624,-0.015468562661908098,-0.0005506981095484924,-0.0026357589434422898,0.0073783088209154355,0.01561578863071446,0.023905100590206875,0.008948461910095998,0.004941247982329845,0.028522933371967207,0.04511139208943829,0.04191837085204417,-0.007441693446868295
"Amount of Waste Used in Households and Other Parts (e.g., Transportation)",11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,-0.02196366782208587,0.020142757632974545,-0.044175030900287494,-0.049200509974827895,0.019411226120257325,-0.01367607102416548,0.0007289136839902309,-0.023700269310293162,0.28920971504838305,0.11694456130423565,-0.013870130852063043,0.009136921865540583,-0.017536871754202037,-0.03283744851223212,-0.030562451405918983,0.02414000391009874
Reuse of Waste and Reduction of Resource Depletion,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,-0.005352516455071441,0.0054904065274986955,-0.03244459325825285,-0.025406594003337866,0.025949906411085553,-0.0021435538914155315,0.007836213349552125,-0.005346460253311541,0.21311761206375582,0.10989718707505317,-0.0017415861243226494,-0.0020089327712196933,-0.0029157987633604385,0.31791590455802105,0.2837052583351958,0.004941318101077769
Retrofitting Projects that Maximize Energy Efficiency and Minimize Waste,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.016681384174574383,-0.02087968231025072,0.008942347238594195,-0.024991868909401832,-0.08377983864243661,0.06241749674304654,0.021082945547073226,0.05367201942044398,0.2276066987113795,0.1422734953856832,-0.008349965260422098,-0.015173020247016,-0.021945546292485015,0.08087627951394236,0.06219454611915352,0.011162587048675976
Percentage of Food Waste Treated,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.012221049295578977,0.021657055887384185,0.00922753642270745,0.030437844351901645,-0.0027400785725880668,0.024819717483403517,0.03574759849697494,0.018237731349448782,0.23722171278876514,0.10847132364275629,-0.025283547784380182,-0.015745320127847413,-0.007810457886068319,0.02760307160946852,0.05371441018497457,0.026927503466682264
Flood Remediation Costs,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.0006612384161402238,-0.0043404500677832044,-0.010856107597071262,-0.01327908849756345,0.0016529328241215212,-0.0019865105475191385,0.0010422230638080455,0.0010904617842806066,-0.013107995861771572,-0.02776649409566431,-0.0025341360559001684,-0.009923543692045095,-0.00349533065198995,-0.012338244511635756,-0.008073297602476262,0.01541967306066781
Chemical Remediation Costs,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.0006674993585045222,-0.004436800019961772,-0.011024073280476094,-0.013219813973087306,0.00254034872195611,-0.0039004416777973063,-0.0005750016707062657,-0.0010455220074885101,-0.01271982599542987,-0.02765435693931765,-0.0026394483966672433,-0.00995579955005286,-0.0029772330359305195,-0.012556214828242067,-0.00809773135065187,0.016177505887038576
Overall Recycling Rate,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,0.0011819015143388104,0.007746704805903491,0.30039347476727224,-0.0017180034602349399,-0.008685257643893298,-0.013485670700675799,-0.007973642282147456,-0.010745151484640308,0.004572178215382662,0.015418832714286033,0.012837269668870544,0.018587899206233167,0.008982239440278305,-0.0043239158761198306,0.008499598492579107,0.0006976672995676548
Rate of Waste Materials Reused,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,-0.006650415360079439,-0.00475819632770345,0.2800582068551036,0.03949936270476293,-0.022868059337628584,0.02522540855863271,0.006187228104868976,0.019676414095419592,0.2606995377269505,0.11846360762840473,0.007624626716046699,0.004836865156470538,0.023149977299299983,0.0386493540860486,0.03813538519489714,0.22618259957462897
Local Wind Resource Potential,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels,-0.012667060700799336,-0.015233033198045596,-0.012704359576636334,0.0695185094118215,-0.06950555128863567,0.002284264630625774,0.011492439121873387,-0.0003949142414253052,-0.002809371304177926,-0.0003766146023477745,-0.004236567076728022,-0.007093110485395072,0.12163528893895542,0.10550491191496526,0.3018581073442363,0.21633465750166328
Local Solar Resource Potential,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels,-0.012493460983927953,-0.015816277354583984,-0.013072422585792609,0.06918349025801625,-0.06932404472456674,0.002555562547175091,0.011704743568019335,-1.5311624404061018e-05,-0.002205718047954388,-0.0007636879075729344,-0.004822392730401822,-0.007454451122424808,0.12175809424245684,0.10569221539144825,0.3020545346226656,0.21642657290636366
Local Green Resource Roofs,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels,0.0067562119620130055,0.002316505171374931,0.017669983944157273,-0.04627992554115987,0.03373357832970965,-0.005481861521485283,0.02305875223222126,0.008119217425800287,-0.008927262015889056,0.0070365147837737835,0.19358175131719127,0.2419296928480042,0.16079465418952638,0.11441367978110704,0.31521432932355437,0.2651563105714783
Import/Export Balances resources,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,-0.00362343551031485,-0.014590591344264249,-0.012454946974142135,-0.024691458853084793,-0.05693699650677638,-0.017675719142099564,-0.01841275312830717,-0.021369154195485882,-0.004650956558555519,-0.012216510083596647,-0.007085122584650154,-0.0031944565407312133,0.008248377848822005,0.04542226962758311,0.03889156642495864,0.010790896283693037
Waste Reduction and Circular Processes,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,0.017914227333185272,-0.03718434116526397,-0.0018834109172789226,-0.00027732260143575974,-0.015550059936567813,-0.04721593546008706,-0.038501760014581575,-0.03359888221967081,0.27386703788736977,0.136936901132402,0.00017603971375129788,-0.009018911837718982,-0.02107169178593166,0.23695927388236046,0.21813705738700878,-0.018267956605604263
Managing and Reducing Noise Pollution,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.012980302716821629,0.01169217123803979,0.01235652321545494,0.0069436070141036315,0.04553113484235373,-0.028296935769346065,-0.02477013018456521,-0.025533389797671762,0.037069411254378265,0.008025711172185692,0.009855749686257038,0.01455531578673013,-0.010178616556797495,-0.03198909122000023,-0.02189518582815388,-0.009294232071442145
Pollution Reduction,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,-0.0045873028570181445,0.003900581717720978,-0.006961477362127486,-0.0039974398848883486,-0.029064829403182668,0.007510968274326468,0.00578202693235321,0.00790830946636122,-0.03662607988724896,-0.004902954832008414,-0.010643763793725888,-0.010131837890938826,0.0010807089727315983,0.3720687116430528,0.3356716204231296,0.0064180337821449765
Mitigation of Environmental Impacts,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.024016966180307412,-0.009085445836280626,-0.01151390128194647,-0.0007934067770045242,-0.010616699304380152,-0.01079269393223537,-0.015238614513876744,-0.0069499669508463055,0.2036895285756124,0.28493903477049,-0.007524823558356307,-0.007519366067988211,0.2522418528112597,0.13926120950009088,0.12485063402252922,-0.008373709697804637
Reduction of Waste Production through Sustainable Materials,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,0.0005601757863688481,0.09183601185423575,0.31700614892429657,0.2774006324700463,0.009033522306997966,-0.02414304990461964,-0.016920644264213344,-0.024161397783091572,0.21315248039441215,0.08742007712337277,0.0039843378920016576,0.009080465483453842,-0.016812852155869713,0.1944932994602984,0.17925926360938488,0.3780460549016316
Amount of Waste Produced in the City,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,0.016087774304823832,-0.005591641806703104,0.007728625720477099,0.013930951312591967,-0.030191368285009238,0.08597018843270113,0.08894967529102464,0.08031028834790402,0.2849530127754523,0.14818544795767935,0.023908131067995057,0.0221323432203143,0.0063358532381597235,-0.01138271753508881,-0.026226363117077142,-0.020481349771854188
Recycling Materials and Rates,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,0.0011740891524613746,0.020551862896753554,0.04268694763467241,0.040822559562468684,0.0006427318877542524,-0.020570675971313755,-0.02544761661413679,-0.015128537836340519,0.005617800599512914,-0.00167439062175591,0.000268612141952236,-0.011298489702066063,-0.017026301443692164,0.01104390436998447,0.01591634653470794,0.2382054189930892
Zero Material Waste Targets,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,-0.004030627946535365,-0.03760168127967778,0.045636586759191945,0.02929799340374734,-0.029937096753498458,0.006291012347843975,-0.005391930848504906,0.006925855556903851,0.39915972432687047,0.17910496301853893,-0.01683159159332539,-0.044658433056217924,-0.01670296932795251,0.053408202681375375,0.04278879823556114,-0.026428360879365065
Amount or Percentage of Recycled Material,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.00427199851794119,0.0018010703939807201,-0.005957985519407043,-0.0009488978143600699,0.019073823467053285,0.02224808743969651,0.018969228055374727,0.021768312971735877,0.03609121237338685,-0.002067015010150421,0.012529295039723946,-0.0018878766440426637,0.004515636548766167,-0.006670380605816639,-0.01503608345292464,0.023691433096748114
Products Reused and Recovered,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.02730123732399974,0.016072910812682653,0.006707999116213322,-0.011609354626448801,0.017666660511078267,0.0180393931732045,-0.014811016896007535,0.019178671435194083,0.07116361681197338,-0.015495661092783554,0.01977828757103402,0.02889219845612184,0.06118351993817906,0.004471429249356058,-0.00945337234805626,0.020365868027480284
Recycling of Non-Ferrous Metals,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.022408051423863554,-0.03331821200763159,-0.05214932898552681,-0.03000698908602823,0.010233381338176086,0.030898844497971284,0.03689206965299383,0.024634437634601918,-0.007969241999959515,-0.022369456743728356,-0.025233370216858064,-0.024409170108790096,-0.0442036344496866,0.012360648358806162,0.00650966308513637,-0.00515616784717361
Recycling Initiatives,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.00015602543057278965,0.0008711559871696475,0.00698569033364894,-0.0079772026272797,0.010577718088850541,0.01149275051930518,0.006795439209501251,0.007917417067195568,-0.01077782923166365,0.0019930202048369736,0.007964551369308256,0.004499016697906921,0.004327360683770345,0.010159971394674349,0.008915178256121883,0.004406146494426348
Lifecycle Management of Buildings and Materials,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,0.005956430981716649,0.03482135901726073,0.1810771873745873,0.31890740328981326,0.007729766141023636,0.01809729971680974,0.014138675164120724,0.011139062329119426,0.11029532584524167,0.18155573706458436,0.011785076028101003,0.030616726176527193,0.0001509434475113748,0.11306783059297691,0.09376792149928023,0.4517854783847623
