Indicator,Economic,Environmental,Social
Community Participation Rates in CE Programs,0,1,1
Nature-Based Solution Adoption and Establishment of New Communities,0,1,1
Social Innovation and Entrepreneurship,0,1,1
Balance Between Women & Men ,1,1,1
Heaviest Age Group ,1,1,1
Social Equity Level in Low-Income Groups,0,1,1
Active Population ,1,1,1
"Promoting Social Equity, Justice, and Human Rights",1,1,0
Social Capital and Social Well-being,0,1,0
Healthcare Access and Quality,0,1,0
Fare Accessibility to Services: ,1,1,0
Social Inclusion and Cultural Dimension,1,1,0
Crime Rates and Safety,1,1,1
Citizen Behavior Toward Sustainable Practices,1,1,0
Education Quality and Accessibility,0,1,0
Training opportunities programs,0,1,0
community awareness and education on circular practices,1,1,0
Percentage of Space for Ecosystems (Urban Farming) in Spatial Planning,0,1,0
Urban Regeneration and Land Use Efficiency,1,1,0
"Close Linkage to Use of Resources (e.g., Built Environment and Infrastructures)",1,1,0
Number of Projects/Solutions that Reduce Material Consumption and Improve Sustainability,1,1,0
Resource Sufficiency and Conservation Efforts,1,1,0
Access to Affordable Housing,0,1,0
Housing Deficiency,0,1,0
Percentage of Inhabitants,0,1,0
Building Footprint,1,1,0
Co-building; Cohousing & Cooperative Housing,0,1,0
Lifecycle of the Building,1,1,0
Production of Public Spaces as Places:,0,1,0
Activation of Vacant and Unused Spaces,0,1,0
Healthy and Comfortable Spaces,0,1,0
Quality of Public Spaces in Terms of Attractiveness,0,1,0
"Sustainable Urban Design Promoting Renewable Energy, Green Spaces, and Pedestrian-Friendly Streets",1,1,0
Built Flexible Environments and Smart Building Sustainable Technologies,1,1,0
Urbanization Process Pattern,1,1,0
Health Urban Ecology,0,1,0
Regenerate and Renovate Existing Structures and Spaces,0,1,0
Number of Buildings and Spaces Reused for New Functions,0,1,0
Recovery of Abandoned Areas and Adaptation of Existing Infrastructure,0,1,0
Control Ecological Footprint of Cities,1,1,0
Percentage of Space for (Peri) Urban Farming in Spatial Planning,0,1,0
Food Security Measures and Strategies,0,1,0
Green Growth Indicators,0,1,0
Local Self-Sufficiency,0,1,0
Green Infrastructure,0,1,0
"Number of Urban Farms, Rooftop Gardens, Community Gardens, and Farmers' Markets",0,1,0
Parks and Accessible Pathways,0,1,0
Enhancing Urban Green Spaces,0,1,0
Percentage of Green Spaces Buildings,0,1,0
Use of Recycled and Reusable Materials in Construction,1,1,0
Integration of Nature-Based Solutions,0,1,0
Biodiversity Diversification,0,1,0
Strategies for Enhancing Urban Green Coverage and Ecosystem Connectivity: ,0,1,0
Evaluate Pattern of Forests and Wetlands,0,1,0
Public Transport Usage and Electrical Energy Use in Transportation,1,1,0
"Transportation Modes such as Public Transit, Biking, and Walking",1,1,1
Reduction of Reliance on Single-Occupancy Vehicles and Enhancing Urban Mobility,1,1,1
Development of Local Networks and ICT Infrastructure: ,0,1,1
Public Transport Links and Accessibility to Public Services,0,1,0
Percentage of Road Network Dedicated to Pedestrian Use,1,1,0
Cycling Infrastructure,0,1,0
Electric Vehicles,1,1,0
Walking Distance to Nearest Facilities,1,1,0
Economic Value of Property and Land,1,1,0
Incentives for Green Businesses,0,1,0
Improve Level of Sustainable Supply Chains,1,1,0
Design Activity as a Service Model,1,1,0
Design New Commercial Activities,1,1,1
Level of Export and Import of Goods and Products,1,1,0
Investments in the Recycling Process,1,1,1
Industry Development Level,1,1,1
Average Income and Equality Among Low-Income Groups,1,1,0
Adoption rates of circular products and services,1,1,1
economic growth linked to CE activities,1,1,0
level of local jobs at all skill levels,1,1,1
Job creation through circular economy practices,1,1,1
revenue generated from circular products and services,1,1,0
Product lifespan and durability,1,1,0
Engagement with local industries and startups,1,1,1
promoting community and public participation in circular practices,1,1,0
"investment in local and global market integration, enhancement of local markets",1,1,1
"GHG emissions (e.g., CO2, methane), Energy consumption per unit of production, Water usage and water stress levels, Waste generation and recycling rates, Biodiversity indices and species diversity",1,0,1
"Emissions levels, Waste diversion rates, Recycling rates, Hazardous waste management, Noise pollution levels",0,0,1
"GHG emissions reduction targets, Renewable energy adoption, Climate adaptation plans, Carbon offset projects",1,1,1
"Protected areas, Species richness, Habitat restoration projects, Ecosystem services valuation",0,1,1
"Land use efficiency, Urban sprawl control, Brownfield redevelopment, Green infrastructure",1,1,0
"Water quality, Water recycling rates, Rainwater harvesting, Aquifer recharge initiatives",1,1,1
"Particulate matter concentration, NOx and SOx levels, Air quality monitoring systems, Public health impacts",0,1,1
"Worker rights policies, Child labor incidence, Workplace safety standards, Human rights training",1,1,0
"Community participation in planning, Local advisory councils, Public consultations, Community investment projects",0,1,1
"Occupational health standards, Public health services, Disease prevention programs, Mental health support",0,1,0
"School enrollment rates, Literacy rates, Vocational training programs, Lifelong learning opportunities",0,1,1
"Income equality metrics, Poverty reduction programs, Access to basic services, Anti-discrimination policies",1,1,1
"Conservation of historical sites, Promotion of local arts and culture, Heritage education programs",1,1,1
"Affordable housing availability, Homelessness rates, Housing quality standards, Urban renewal projects",0,1,1
"Revenue growth, Profit margins, Return on investment, Economic value generated",1,1,1
"R&D spending, Patents filed, Infrastructure quality, Technological advancements",0,1,0
"Market share, Customer satisfaction, Brand reputation, Competitive analysis",1,1,0
"Ethical sourcing policies, Supplier diversity, Fair trade practices, Supply chain transparency",1,1,0
"Economic diversification, Crisis management plans, Financial stability measures",1,1,1
"GDP growth, Employment rates, Investment levels, Economic forecasting",0,1,1
"Sustainable product design, Consumer awareness campaigns, Circular economy practices",1,1,0
"Unemployment rates, Job satisfaction, Wages and benefits, Worker productivity",1,1,1
PM 2.5 Levels,0,1,1
Water Usage Efficiency,1,0,1
Species at Risk,0,1,1
Crop Rotation Adherence,1,1,0
Renewable Energy Share,1,1,0
School Enrollment Rates,0,1,1
Doctor to Patient Ratio,0,1,0
Workplace Accidents,1,1,0
Community Initiative Participation,0,1,0
Diversity Indices,0,1,1
GDP Per Capita,0,1,0
Banking Penetration,1,1,0
Trade Balance,1,1,1
Recovery Index,1,1,1
Compliance Rates,0,1,1
Foreign Direct Investment,0,1,1
