Category,Subcategory,Indicator,Description
Indicators for Resource Efficiency and Material Cycles,Optimized Resource Use,Energy Generated During Waste Treatment and Reused,Amount of energy produced from waste treatment processes and its subsequent reuse.
Indicators for Resource Efficiency and Material Cycles,Optimized Resource Use,"Resource Efficiency (Labor, Material Inputs, or Energy)","Optimization and efficiency of resources such as labor, materials, and energy."
Indicators for Resource Efficiency and Material Cycles,Optimized Resource Use,Reducing Non-Renewable Resources,Efforts and measures to reduce the use of non-renewable resources.
Indicators for Resource Efficiency and Material Cycles,Optimized Resource Use,Reuse of Waste and Reduction of Resource Depletion,Strategies to reuse waste and minimize the depletion of natural and non-renewable resources.
Indicators for Resource Efficiency and Material Cycles,Optimized Resource Use,Renewable-Energy Systems and Efficient Use of Energy,Implementation and efficiency of renewable energy systems.
Indicators for Resource Efficiency and Material Cycles,Optimized Resource Use,Control of Organic Matter from Waste,Management and reduction of organic matter in waste streams.
Indicators for Sustainable Production and Consumption,Reduce Material Consumption,Material Consumption Reduction,Measurement of the decrease in material consumption over time.
Indicators for Sustainable Production and Consumption,Reduce Material Consumption,Use of Local Materials and Secondary Raw Materials,Volume or percentage of local and secondary raw materials used.
Indicators for Sustainable Production and Consumption,Optimization of Raw Material Use,Resource-Efficient and Circular Material Life Cycles,Implementation and impact of circular economy principles in material use.
Indicators for Sustainable Production and Consumption,Product Lifecycle Extension,Increasing Durability of Products,Initiatives and measures taken to enhance the durability of products.
Indicators for Sustainable Production and Consumption,Product Lifecycle Extension,Redesign for Reuse and Recycling of Products,Percentage of products designed for easier reuse and recycling.
Indicators for Sustainable Production and Consumption,Product Lifecycle Extension,Prolonging the Lifespan of Products,Strategies and practices aimed at extending product lifespan.
Indicators for Sustainable Production and Consumption,Product Lifecycle Extension,Lifetime Extension Practices,Adoption of practices that contribute to the extension of product lifecycles.
Indicators for Sustainable Production and Consumption,Product Lifecycle Extension,Focus on Locally Produced Food,Promotion and use of locally produced food.
Indicators for Sustainable Production and Consumption,Product Lifecycle Extension,Refurbishment and Recycling of Products,Volume or percentage of products refurbished and recycled.
Indicators for Sustainable Production and Consumption,Product Lifecycle Extension,Remanufacturing Processes Involving Water Use,Implementation and efficiency of remanufacturing processes that use water.
Indicators for Circular Production Systems,Local Loop Systems and Waste Minimization,Community-Based Recycling Initiatives,Number and impact of community-based recycling programs.
Indicators for Circular Production Systems,Local Loop Systems and Waste Minimization,local Recycling Rate,Overall rate of recycling within the local loop system.
Indicators for Circular Production Systems,Recycling and Reuse,Thermal Hydrolysis,Implementation and effectiveness of thermal hydrolysis processes.
Indicators for Product Lifecycle Enhancement,Durability and Longevity,Increase Longevity of Products,Measures and results related to increasing product longevity.
Indicators for Product Lifecycle Enhancement,Optimized Material Use,Make Good Use of Material,Efficiency and optimization of material use in production processes.
Indicators for Product Lifecycle Enhancement,Optimized Material Use,Lifetime Extension,Adoption of practices and technologies aimed at extending the lifetime of products.
Indicators for Pollution Control and Air Quality,Emissions and Air Quality Management,Greenhouse Gas and CO2 Emission Reduction,Measurements of reductions in greenhouse gas and CO2 emissions.
Indicators for Pollution Control and Air Quality,Emissions and Air Quality Management,Air Quality Improvements,Improvements in air quality indices over time.
Indicators for Pollution Control and Air Quality,Emissions and Air Quality Management,Pollution Reduction,"Reduction in levels of various pollutants (e.g., particulate matter, NOx, SOx)."
Indicators for Pollution Control and Air Quality,Emissions and Air Quality Management,Greenhouse Gas Emissions Along a Building's Lifecycle,Assessment of greenhouse gas emissions throughout the lifecycle of buildings.
Indicators for Energy Recovery and System Efficiency,Energy from Waste,Production of Thermal Energy from Waste Heat,Amount of thermal energy produced from waste heat recovery processes.
Indicators for Energy Recovery and System Efficiency,Efficient Use of Resources,Pollution of Resource and Material Reduction,Initiatives and results in reducing pollution from resource and material use.
Indicators for Energy Recovery and System Efficiency,Remanufacturing and Extended Producer Responsibility,Remanufacturing Practices,Implementation and efficiency of remanufacturing practices.
Indicators for Energy Recovery and System Efficiency,Remanufacturing and Extended Producer Responsibility,Extended Producer Responsibility (EPR) Initiatives,Adoption and impact of EPR initiatives.
Indicators for Sustainable Energy Flow Management,Energy Recovery from Waste,Material and Energy Conservation,Metrics on the conservation of materials and energy through waste recovery processes.
Indicators for Sustainable Energy Flow Management,Sustainable Resource Utilization,Resource-Efficient and Circular Material Life Cycles,Adoption and impact of circular economy practices in resource utilization.
Indicators for Sustainable Energy Flow Management,Sustainable Resource Utilization,Remanufacturing Processes,Efficiency and implementation of remanufacturing processes.
Indicators for Sustainable Energy Flow Management,Sustainable Resource Utilization,Extended Producer Responsibility Initiatives,Effectiveness of EPR initiatives in promoting sustainable resource use.
Indicators for Sustainable Energy Flow Management,Renewable Energy Integration,Renewable Energy Penetration,Percentage of energy derived from renewable sources.
Indicators for Sustainable Energy Flow Management,Renewable Energy Integration,Access to Electricity,"Measures of access to electricity, particularly from renewable sources."
Indicators for Sustainable Energy Flow Management,Renewable Energy Integration,Circular Economy (CE) Innovation Budget,Budget allocation for CE innovations and initiatives.
Indicators for Sustainable Energy Flow Management,Energy Consumption and Renewable Energy Usage,Renewable Energy Systems Penetration,Extent of penetration and usage of renewable energy systems.
Indicators for Sustainable Energy Flow Management,Energy Consumption and Renewable Energy Usage,Efficient Use of Energy,Metrics on energy efficiency improvements.
Indicators for Sustainable Energy Flow Management,Energy Consumption and Renewable Energy Usage,Grid Integration,Integration of renewable energy into the grid.
Indicators for Sustainable Energy Flow Management,Energy Consumption and Renewable Energy Usage,Energy Consumption,Total energy consumption metrics.
Indicators for Sustainable Energy Flow Management,Pollution Control and Emission Management,Carbon Footprint and Greenhouse Gas Emissions,Measurement and reduction of carbon footprint and greenhouse gas emissions.
Indicators for Sustainable Energy Flow Management,Pollution Control and Emission Management,Carbon Storage and Sequestration in Vegetation and Soil,Amount of carbon stored and sequestered in vegetation and soil.
Indicators for Sustainable Energy Flow Management,Pollution Control and Emission Management,Flow of Emissions,Tracking and management of emissions flow.
Indicators for Energy and Material Flow,Resource Management and Optimization,Material Flow Analysis (MFA),Comprehensive analysis of material flows through the economy.
Indicators for Energy and Material Flow,Resource Management and Optimization,Renewable Energy Usage,Metrics on the usage of renewable energy sources.
Indicators for Energy and Material Flow,Resource Management and Optimization,Resource Efficiency and Productivity,Measures of resource efficiency and productivity improvements.
Indicators for Energy and Material Flow,Resource Management and Optimization,Total Raw Material Productivity,Productivity metrics related to the use of raw materials.
Indicators for Water Efficiency and Conservation,Water Use Reduction,Water Reduction in Production Processes,Measurement of reductions in water use within production processes.
Indicators for Water Efficiency and Conservation,Water Use Reduction,Reduction in Potable Water Consumption,Initiatives and metrics related to reducing potable water consumption.
Indicators for Water Efficiency and Conservation,Efficient Water Management,Efficient Use of Water Resources,Implementation and effectiveness of measures to use water resources efficiently.
Indicators for Water Efficiency and Conservation,Efficient Water Management,Safe Water Accessibility,Availability and accessibility of safe drinking water.
Indicators for Water Efficiency and Conservation,Efficient Water Management,Water Quality and Availability,Measures of water quality and its availability for various uses.
Indicators for Water Efficiency and Conservation,Efficient Water Management,Grey-Water Reuse and Black-Water Recycling,Implementation and effectiveness of grey-water reuse and black-water recycling practices.
Indicators for Water Efficiency and Conservation,Water Usage,Amount of Water Used in Houses,Measurement of water consumption in residential settings.
Indicators for Water Efficiency and Conservation,Water Usage,Amount of Water Used in Other Sectors,"Water usage metrics in various sectors, such as transportation and industry."
Indicators for Water Efficiency and Conservation,Water Usage,Integration of Water Resource Management with Human and Material Potential,Strategies and practices that integrate water resource management with human and material resources.
Indicators for Water Efficiency and Conservation,Water Usage,Strategies to Enhance Material and Human Engagement in Water Conservation,Initiatives and programs aimed at increasing engagement in water conservation efforts among individuals and organizations.
Indicators for Environmental Quality Protection and Climate Resilience,Natural System Management,Protecting the Natural Environment and Regenerating Natural Systems,Initiatives and outcomes in protecting and regenerating natural ecosystems.
Indicators for Environmental Quality Protection and Climate Resilience,Natural System Management,Air Quality Assessment,Measurements and improvements in air quality indices.
Indicators for Environmental Quality Protection and Climate Resilience,Natural System Management,Virgin Resources Used,Volume or percentage of virgin resources used in various processes.
Indicators for Environmental Quality Protection and Climate Resilience,Natural System Management,Biogas Utilization and Impact,Usage and environmental impact of biogas.
Indicators for Environmental Quality Protection and Climate Resilience,Natural System Management,Ecological Restoration and Biodiversity Enhancement,Projects and outcomes related to ecological restoration and biodiversity enhancement.
Indicators for Environmental Quality Protection and Climate Resilience,Natural System Management,Number of Projects Including Nature-Based Solutions,Count and details of projects implementing nature-based solutions.
Indicators for Environmental Quality Protection and Climate Resilience,Natural System Management,Amount of Financial Support to Implement Nature-Based Solutions,Funding allocated for nature-based solution projects.
Indicators for Environmental Quality Protection and Climate Resilience,Natural System Management,Habitat Restoration,Area or volume of habitats restored.
Indicators for Environmental Quality Protection and Climate Resilience,Pollution Control and Carbon Management,Pollution Reduction Initiatives,Specific programs and their effectiveness in reducing pollution.
Indicators for Environmental Quality Protection and Climate Resilience,Pollution Control and Carbon Management,Carbon Management Practices,Implementation and impact of carbon management strategies.
Indicators for Environmental Quality Protection and Climate Resilience,Value and Impact of Green Spaces,Monetary Values of Each Vegetation Community Type,Economic valuation of different vegetation types.
Indicators for Environmental Quality Protection and Climate Resilience,Value and Impact of Green Spaces,Distribution of Public Green Space,Total surface area or per capita availability of public green spaces.
Indicators for Environmental Quality Protection and Climate Resilience,Value and Impact of Green Spaces,Amount of Pollutants Captured by Vegetation,Volume of pollutants captured by green infrastructure.
Indicators for Environmental Quality Protection and Climate Resilience,Value and Impact of Green Spaces,Adaptation of Green and Blue Infrastructure,"Projects and measures to adapt green and blue infrastructure to regulate CO2 emissions, mitigate flooding, and support biomass cogeneration."
Indicators for Environmental Quality Protection and Climate Resilience,Value and Impact of Green Spaces,Restoration of Ecosystem Services,Initiatives and outcomes in restoring ecosystem services.
Indicators for Environmental Quality Protection and Climate Resilience,Climate Change Adaptation and Mitigation,Increase in Resilience to Climate Change,Measures and results in enhancing climate resilience.
Indicators for Environmental Quality Protection and Climate Resilience,Climate Change Adaptation and Mitigation,Adaptation and Resilience to Urban Climate Change,Strategies and effectiveness in adapting to urban climate change impacts.
Indicators for Environmental Quality Protection and Climate Resilience,Climate Change Adaptation and Mitigation,Urban Heat Island Effect Mitigation,Initiatives and success in mitigating the urban heat island effect.
Indicators for Environmental Quality Protection and Climate Resilience,Climate Change Adaptation and Mitigation,Cost of Grey Infrastructure,Financial costs associated with grey infrastructure projects.
Indicators for Environmental Quality Protection and Climate Resilience,Climate Change Adaptation and Mitigation,Eco-Innovation and Eco-Design,Adoption and impact of eco-innovation and eco-design practices.
Indicators for Environmental Quality Protection and Climate Resilience,Climate Change Adaptation and Mitigation,Life Cycle Assessment,Use of life cycle assessments in evaluating environmental impacts.
Indicators for Environmental Quality Protection and Climate Resilience,Climate Change Adaptation and Mitigation,Innovation in Environmental Technologies and Processes,Development and implementation of new environmental technologies and processes.
Indicators for Environmental Quality Protection and Climate Resilience,Climate Change Adaptation and Mitigation,Innovation in Sustainable Practices and Technologies,Advancements in sustainable practices and technologies.
Indicators for Environmental Quality Protection and Climate Resilience,Climate Change Adaptation and Mitigation,Developing New Methods for Enhancing Urban Resilience and Sustainability,Research and development of new methods to improve urban resilience and sustainability.
Indicators for Government and People Participation,Public Sector Engagement,E-Government Initiatives,Implementation and effectiveness of digital government initiatives.
Indicators for Government and People Participation,Public Sector Engagement,Enforcement of Environmental Regulations,Compliance and enforcement measures for environmental regulations
Indicators for Government and People Participation,Public Sector Engagement,Transparent Governance,Transparency initiatives in governance practices
Indicators for Government and People Participation,Public Sector Engagement,"Public Forums, Community Decision-Making Processes",Engagement platforms and processes for community decision-making.
Indicators for Governance and Policy Implementation,Governance and Community Engagement,"Specialized Supporting Services (Financial, Knowledge, IT, R&D, etc.)",Availability and utilization of specialized support services.
Indicators for Governance and Policy Implementation,Governance and Community Engagement,Public Utilities and Transport Services Management,Management and efficiency of public utilities and transport services.
Indicators for Governance and Policy Implementation,Governance and Community Engagement,Grants from Local and National Governments for Symbiosis Activities,Funding and support provided by governments for symbiosis activities
Indicators for Governance and Policy Implementation,Cost Management and Economic Impact,Cost of Materials Used in Buildings,Cost analysis of materials used in construction projects.
Indicators for Governance and Policy Implementation,Cost Management and Economic Impact,Waste Collection Costs,Costs associated with waste collection and management.
Indicators for Governance and Policy Implementation,Cost Management and Economic Impact,Demolition and Construction Management Costs,Expenses related to demolition and construction management.
Indicators for Governance and Policy Implementation,Cost Management and Economic Impact,Impact of Urban Symbiosis Projects,Assessment of economic impacts generated by urban symbiosis initiatives.
Indicators for Governance and Policy Implementation,Cost Management and Economic Impact,"nergy Recovered from Urban Water, Sewage, and Waste","Amount of energy recovered from urban water, sewage, and waste processes."
Indicators for Governance and Policy Implementation,Circular Economy Policies and Governance,"ircular Economy Policies at City, Regional, and National Levels",Existence and implementation of circular economy policies at different governance levels
Indicators for Governance and Policy Implementation,Circular Economy Policies and Governance,Incentives to Enhance Circular Economy Transformation,Financial and regulatory incentives aimed at promoting circular economy practices and transformation.
Indicators for Innovation and Technology in Systems Thinking,Innovative Practices and Systemic Change Research and Development,R&D Expenditure,Investment and spending on research and development activities
Indicators for Innovation and Technology in Systems Thinking,Innovative Practices and Systemic Change Research and Development,Patents Related to Circular Economy Technologies and Processes,Number and significance of patents related to circular economy innovations.
Indicators for Innovation and Technology in Systems Thinking,"Implementation of Sustainable Techniques, Digitalization, and Smart City Solutions",Integration of IoT and AI in CE Initiatives,Utilization and integration of Internet of Things (IoT) and Artificial Intelligence (AI) in circular economy initiatives
Indicators for Innovation and Technology in Systems Thinking,"Implementation of Sustainable Techniques, Digitalization, and Smart City Solutions",Digital Tools and GIS Applications Integration,Use and integration of digital tools and Geographic Information System (GIS) applications.
Indicators for Innovation and Technology in Systems Thinking,"Implementation of Sustainable Techniques, Digitalization, and Smart City Solutions",Smart City and Technology Enhancements,Improvements and innovations in smart city technologies.
Indicators for Innovation and Technology in Systems Thinking,Smart Grid and Energy Management Systems,Regenerative and Systems Thinking to Promote Long-Term Sustainability,Strategies and implementations promoting regenerative and systems thinking for sustainable outcomes
Indicators for Community and Social Impact,Public Awareness and Engagement,Public Awareness Campaigns,Effectiveness and reach of campaigns aimed at raising public awareness on circular economy principles.
Indicators for Community and Social Impact,Public Awareness and Engagement,Community Participation Rates in CE Programs,Level of community engagement and participation in circular economy programs.
Indicators for Community and Social Impact,Public Awareness and Engagement,Nature-Based Solution Adoption and Establishment of New Communities,Adoption rates and impacts of nature-based solutions in establishing resilient communities.
Indicators for Community and Social Impact,Public Awareness and Engagement,Social Innovation and Entrepreneurship, Innovations and entrepreneurial ventures contributing to social and environmental benefits.
Indicators for Community and Social Impact,Demographics and Policy,Balance Between Women & Men ,Gender balance in various sectors and activities related to circular economy.
Indicators for Community and Social Impact,Demographics and Policy,Heaviest Age Group ,Distribution of age groups involved in circular economy initiatives.
Indicators for Community and Social Impact,Demographics and Policy,Social Equity Level in Low-Income Groups,Measures and improvements in social equity among low-income groups.
Indicators for Community and Social Impact,Demographics and Policy,Active Population ,Percentage of the population actively engaged in circular economy practices.
Indicators for Community and Social Impact,Community Well-being and Social Justice,"Promoting Social Equity, Justice, and Human Rights","Initiatives and policies promoting social equity, justice, and human rights in circular economy efforts."
Indicators for Community and Social Impact,Community Well-being and Social Justice,Social Capital and Social Well-being,Measurement and enhancement of social capital and well-being in communities.
Indicators for Community and Social Impact,Community Well-being and Social Justice,Healthcare Access and Quality,Accessibility and quality of healthcare services in circular economy contexts.
Indicators for Community and Social Impact,Community Well-being and Social Justice,Fare Accessibility to Services: ,Equal access to services and resources for all community members.
Indicators for Community and Social Impact,Community Well-being and Social Justice,Social Inclusion and Cultural Dimension,Inclusion of diverse social and cultural perspectives in circular economy practices.
Indicators for Community and Social Impact,Safety and Security,Crime Rates and Safety,Assessment and improvement of safety and security in areas influenced by circular economy activities.
Indicators for Community and Social Impact,Safety and Security,Citizen Behavior Toward Sustainable Practices,Public attitudes and behaviors towards adopting sustainable practices promoted by circular economy initiatives.
Indicators for Community and Social Impact,Education and Community Engagement,Education Quality and Accessibility,Basic Education Quitting 
Indicators for Community and Social Impact,Community Engagement and Participation,Training opportunities programs,
Indicators for Community and Social Impact,Community Engagement and Participation,community awareness and education on circular practices,
Indicators for Urban Development Planning,Urban Planning and Efficiency,Percentage of Space for Ecosystems (Urban Farming) in Spatial Planning,Proportion of urban areas allocated for ecosystems and urban farming.
Indicators for Urban Development Planning,Urban Planning and Efficiency,Urban Regeneration and Land Use Efficiency,Number of projects or initiatives focused on urban regeneration and efficient land use
Indicators for Urban Development Planning,Urban Planning and Efficiency,"Close Linkage to Use of Resources (e.g., Built Environment and Infrastructures)",Integration of resource-efficient practices in urban development projects.
Indicators for Urban Development Planning,Building and Construction Sustainability,Number of Projects/Solutions that Reduce Material Consumption and Improve Sustainability,Count of construction projects implementing sustainable practices to reduce material consumption
Indicators for Urban Development Planning,Building and Construction Sustainability,Resource Sufficiency and Conservation Efforts,Metrics indicating resource conservation efforts in building and construction sectors
Indicators for Urban Development Planning,Building and Construction Sustainability,Access to Affordable Housing,Measures assessing access to affordable housing within urban are
Indicators for Urban Development Planning,Building and Construction Sustainability,Housing Deficiency,Quantitative assessment of housing shortages or deficits.
Indicators for Urban Development Planning,Building and Construction Sustainability,Percentage of Inhabitants,Demographic data on urban population distribution
Indicators for Urban Development Planning,Building and Construction Sustainability,Building Footprint,Measurement of building footprint in urban development.
Indicators for Urban Development Planning,Building and Construction Sustainability,Co-building; Cohousing & Cooperative Housing,Initiatives promoting cooperative and cohousing developments.
Indicators for Urban Development Planning,Building and Construction Sustainability,Lifecycle of the Building,Evaluation of building lifecycles and their environmental impacts.
Indicators for Urban Development Planning,Building and Construction Sustainability,Production of Public Spaces as Places:,Creation and utilization of public spaces to foster community engagement.
Indicators for Urban Development Planning,Building and Construction Sustainability,Activation of Vacant and Unused Spaces,Efforts to repurpose vacant or underutilized urban spaces.
Indicators for Urban Development Planning,Building and Construction Sustainability,Healthy and Comfortable Spaces,Metrics assessing the health and comfort aspects of urban spaces.
Indicators for Urban Development Planning,Building and Construction Sustainability,Quality of Public Spaces in Terms of Attractiveness,Assessment of attractiveness and usability of public spaces.
Indicators for Urban Development Planning,Smart and Sustainable Urban Design,"Sustainable Urban Design Promoting Renewable Energy, Green Spaces, and Pedestrian-Friendly Streets",Adoption and integration of sustainable design principles
Indicators for Urban Development Planning,Smart and Sustainable Urban Design,Built Flexible Environments and Smart Building Sustainable Technologies,Incorporation of flexibility and smart technologies in urban design
Indicators for Urban Development Planning,Smart and Sustainable Urban Design,Urbanization Process Pattern,Analysis of urbanization trends and patterns
Indicators for Urban Development Planning,Smart and Sustainable Urban Design,Health Urban Ecology,Strategies promoting ecological health in urban environments
Indicators for Urban Development Planning,Regeneration and Renovation,Regenerate and Renovate Existing Structures and Spaces,Number of structures and spaces revitalized through regeneration and renovation projects
Indicators for Urban Development Planning,Regeneration and Renovation,Number of Buildings and Spaces Reused for New Functions,Repurposing of buildings and spaces for new uses.
Indicators for Urban Development Planning,Regeneration and Renovation,Recovery of Abandoned Areas and Adaptation of Existing Infrastructure,Efforts to reclaim and adapt abandoned areas and infrastructure.
Indicators for Urban Development Planning,Regeneration and Renovation,Control Ecological Footprint of Cities,Measures to manage and reduce cities' ecological footprint.
Indicators for Urban Agriculture and Green Growth,Urban Farming and Food Systems Security,Percentage of Space for (Peri) Urban Farming in Spatial Planning,Allocation of space for urban and peri-urban farming.
Indicators for Urban Agriculture and Green Growth,Urban Farming and Food Systems Security,Food Security Measures and Strategies,Policies and actions to ensure food security in urban areas.
Indicators for Urban Agriculture and Green Growth,Green Spaces and Ecosystem Services,Green Growth Indicators, Metrics tracking progress in green growth initiatives.
Indicators for Urban Agriculture and Green Growth,Green Spaces and Ecosystem Services,Local Self-Sufficiency,Efforts to achieve local resource self-sufficiency.
Indicators for Urban Agriculture and Green Growth,Green Spaces and Ecosystem Services,Green Infrastructure,Development and maintenance of green infrastructure
Indicators for Urban Agriculture and Green Growth,Green Spaces and Ecosystem Services,"Number of Urban Farms, Rooftop Gardens, Community Gardens, and Farmers' Markets",Quantity and distribution of urban agricultural spaces.
