Indicator,Economic,Environmental,Social,Processed_Indicator,Cluster,Assigned_Class
Local Wind Resource Potential,1,1,0,local wind resource potential,13,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Local Solar Resource Potential,1,1,0,local solar resource potential,13,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Local Green Resource Roofs,1,1,1,local green resource roofs,13,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Import/Export Balances resources,1,1,0,balances resources,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Waste Reduction and Circular Processes,1,1,0,waste reduction and circular processes,12,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Managing and Reducing Noise Pollution,0,1,0,managing and reducing noise pollution,5,11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Pollution Reduction,0,1,0,pollution reduction,5,11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Mitigation of Environmental Impacts,1,1,1,mitigation of environmental impacts,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Reduction of Waste Production through Sustainable Materials,1,1,0,reduction of waste production through sustainable materials,6,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management
Amount of Waste Produced in the City,0,1,0,amount of waste produced in the city,6,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management
Recycling Materials and Rates,1,1,0,recycling materials and rates,13,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Zero Material Waste Targets,1,1,0,zero material waste targets,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Amount or Percentage of Recycled Material,1,1,0,amount or percentage of recycled material,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Products Reused and Recovered,1,1,0,products reused and recovered,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Recycling of Non-Ferrous Metals,1,1,0,recycling of metals,13,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Recycling Initiatives,1,1,1,recycling initiatives,8,11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Lifecycle Management of Buildings and Materials,1,1,1,lifecycle management of buildings and materials,15,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials
Sustainable and Efficient Production and Consumption Patterns,1,1,0,sustainable and efficient production and consumption patterns,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Use of Non-Virgin and Low-Carbon Footprint Materials,1,1,0,use of and footprint materials,15,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials
Economic Value of Resource Use,1,1,0,economic value of resource use,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Reuse of Building Materials in New Constructions,1,1,0,reuse of building materials in new constructions,15,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials
"Efficient Use of Resources, Materials, and Construction Techniques",1,1,0,efficient use of and construction techniques,4,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management
Techniques to Maximize the Effective Lifecycle of Buildings,1,1,0,techniques to maximize the effective lifecycle of buildings,4,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management
Measures to Improve Sustainability,1,1,0,measures to improve sustainability,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Green and Blue Infrastructure,1,1,0,green and blue infrastructure,3,"11.7.2 Proportion of persons victim of non-sexual or sexual harassment by sex age disability status and place of occurrence in the previous 12 months ""11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities"
Use of New or Traditional Materials,1,1,0,use of new or traditional materials,15,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials
Eco-Design Practices,1,1,0,practices,14,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Sharing and Collaborative Consumption Strategies,1,1,1,sharing and collaborative consumption strategies,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Resource Consumption,1,1,0,resource consumption,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
"Flow of Materials, Energy, and Resources",1,1,0,flow of and resources,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Amount of Raw Materials Used,1,1,0,amount of raw materials used,15,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials
Virgin Material Use,1,1,0,virgin material use,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Fossil Fuel Consumption,1,1,0,fossil fuel consumption,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Average Amount of Raw Material Retained in the Cycle per Citizen per Year,1,1,0,average amount of raw material retained in the cycle per citizen per year,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Reduction of Toxic Emissions,1,1,0,reduction of toxic emissions,5,11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Energy Generated During Waste Treatment and Reused,1,1,0,energy generated during waste treatment and reused,4,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management
"Resource Efficiency (Labor, Material Inputs, or Energy)",1,1,0,resource efficiency material or,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Reducing Non-Renewable Resources,1,1,0,reducing resources,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Reuse of Waste and Reduction of Resource Depletion,1,1,0,reuse of waste and reduction of resource depletion,6,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management
Renewable-Energy Systems and Efficient Use of Energy,1,1,0,systems and efficient use of energy,4,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management
Control of Organic Matter from Waste,1,1,0,control of organic matter from waste,6,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management
Material Consumption Reduction,1,1,0,material consumption reduction,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Use of Local Materials and Secondary Raw Materials,1,1,0,use of local materials and secondary raw materials,15,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials
Resource-Efficient and Circular Material Life Cycles,1,1,0,and circular material life cycles,0,11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums
Increasing Durability of Products,1,1,0,increasing durability of products,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Redesign for Reuse and Recycling of Products,1,1,0,redesign for reuse and recycling of products,13,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Prolonging the Lifespan of Products,1,1,0,prolonging the lifespan of products,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Lifetime Extension Practices,1,1,1,lifetime extension practices,14,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Focus on Locally Produced Food,1,1,0,focus on locally produced food,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Refurbishment and Recycling of Products,1,1,0,refurbishment and recycling of products,13,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Remanufacturing Processes Involving Water Use,1,1,0,remanufacturing processes involving water use,12,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Community-Based Recycling Initiatives,1,1,1,recycling initiatives,8,11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
local Recycling Rate,1,1,0,local recycling rate,13,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Thermal Hydrolysis,1,1,0,thermal hydrolysis,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Increase Longevity of Products,1,1,0,increase longevity of products,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Make Good Use of Material,1,1,0,make good use of material,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Lifetime Extension,1,1,0,lifetime extension,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Greenhouse Gas and CO2 Emission Reduction,1,1,0,greenhouse gas and co2 emission reduction,5,11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Air Quality Improvements,1,1,0,air quality improvements,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Pollution Reduction,1,1,0,pollution reduction,5,11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Greenhouse Gas Emissions Along a Building's Lifecycle,1,1,0,greenhouse gas emissions along a lifecycle,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Production of Thermal Energy from Waste Heat,1,1,0,production of thermal energy from waste heat,6,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management
Pollution of Resource and Material Reduction,1,1,0,pollution of resource and material reduction,5,11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Remanufacturing Practices,1,1,0,remanufacturing practices,14,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Extended Producer Responsibility (EPR) Initiatives,1,1,0,extended producer responsibility initiatives,8,11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Material and Energy Conservation,1,1,0,material and energy conservation,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Resource-Efficient and Circular Material Life Cycles,1,1,0,and circular material life cycles,0,11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums
Remanufacturing Processes,1,1,0,remanufacturing processes,12,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Extended Producer Responsibility Initiatives,1,1,0,extended producer responsibility initiatives,8,11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Renewable Energy Penetration,1,1,0,renewable energy penetration,2,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Access to Electricity,1,1,0,access to electricity,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Circular Economy (CE) Innovation Budget,1,1,0,circular economy innovation budget,0,11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums
Renewable Energy Systems Penetration,1,1,0,renewable energy systems penetration,2,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Efficient Use of Energy,1,1,0,efficient use of energy,4,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management
Grid Integration,1,1,0,grid integration,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
