Indicator,Economic,Environmental,Social
Number of Projects Including Nature-Based Solutions,0,1,1
Amount of Financial Support to Implement Nature-Based Solutions,1,1,0
Habitat Restoration,0,1,1
Pollution Reduction Initiatives,1,1,0
Carbon Management Practices,1,1,0
Monetary Values of Each Vegetation Community Type,1,1,0
Distribution of Public Green Space,0,1,0
Amount of Pollutants Captured by Vegetation,1,1,0
Adaptation of Green and Blue Infrastructure,1,1,0
Restoration of Ecosystem Services,1,1,0
Increase in Resilience to Climate Change,1,1,0
Adaptation and Resilience to Urban Climate Change,0,1,1
Urban Heat Island Effect Mitigation,1,1,0
Cost of Grey Infrastructure,1,1,0
Eco-Innovation and Eco-Design,1,1,0
Life Cycle Assessment,1,1,0
Innovation in Environmental Technologies and Processes,1,1,0
Innovation in Sustainable Practices and Technologies,1,1,0
Developing New Methods for Enhancing Urban Resilience and Sustainability,0,1,1
E-Government Initiatives,1,1,0
Enforcement of Environmental Regulations,1,1,0
Transparent Governance,1,1,1
"Public Forums, Community Decision-Making Processes",1,1,1
"Specialized Supporting Services (Financial, Knowledge, IT, R&D, etc.)",1,1,1
Public Utilities and Transport Services Management,1,1,1
Grants from Local and National Governments for Symbiosis Activities,1,1,1
Cost of Materials Used in Buildings,1,1,0
Waste Collection Costs,1,1,0
Demolition and Construction Management Costs,1,1,0
Impact of Urban Symbiosis Projects,1,1,1
"nergy Recovered from Urban Water, Sewage, and Waste",1,1,0
"ircular Economy Policies at City, Regional, and National Levels",1,1,1
Incentives to Enhance Circular Economy Transformation,1,1,1
R&D Expenditure,1,1,1
Patents Related to Circular Economy Technologies and Processes,1,1,1
Integration of IoT and AI in CE Initiatives,1,1,0
Digital Tools and GIS Applications Integration,1,1,0
Smart City and Technology Enhancements,1,1,1
Regenerative and Systems Thinking to Promote Long-Term Sustainability,1,1,1
Public Awareness Campaigns,1,1,1
Community Participation Rates in CE Programs,1,1,1
Nature-Based Solution Adoption and Establishment of New Communities,1,1,1
Social Innovation and Entrepreneurship,0,1,1
Balance Between Women & Men ,1,1,1
Heaviest Age Group ,0,0,1
Social Equity Level in Low-Income Groups,0,0,1
Active Population ,0,0,1
"Promoting Social Equity, Justice, and Human Rights",0,0,1
Social Capital and Social Well-being,0,0,1
Healthcare Access and Quality,0,0,1
Fare Accessibility to Services: ,0,0,1
Social Inclusion and Cultural Dimension,0,0,1
Crime Rates and Safety,0,0,1
Citizen Behavior Toward Sustainable Practices,0,0,1
Education Quality and Accessibility,0,0,1
Training opportunities programs,0,0,1
community awareness and education on circular practices,0,0,1
Percentage of Space for Ecosystems (Urban Farming) in Spatial Planning,0,0,1
Urban Regeneration and Land Use Efficiency,0,0,1
"Close Linkage to Use of Resources (e.g., Built Environment and Infrastructures)",1,1,0
Number of Projects/Solutions that Reduce Material Consumption and Improve Sustainability,1,1,0
Resource Sufficiency and Conservation Efforts,1,1,0
Access to Affordable Housing,1,0,1
Housing Deficiency,1,0,1
Percentage of Inhabitants,0,0,1
Building Footprint,1,1,0
Co-building; Cohousing & Cooperative Housing,1,0,1
Lifecycle of the Building,1,1,0
Production of Public Spaces as Places:,1,0,1
Activation of Vacant and Unused Spaces,0,1,1
Healthy and Comfortable Spaces,0,0,1
Quality of Public Spaces in Terms of Attractiveness,0,0,1
"Sustainable Urban Design Promoting Renewable Energy, Green Spaces, and Pedestrian-Friendly Streets",0,1,1
Built Flexible Environments and Smart Building Sustainable Technologies,1,1,1
Urbanization Process Pattern,1,1,1
Health Urban Ecology,0,1,1
Regenerate and Renovate Existing Structures and Spaces,1,1,0
Number of Buildings and Spaces Reused for New Functions,1,1,0
Recovery of Abandoned Areas and Adaptation of Existing Infrastructure,1,1,0
Control Ecological Footprint of Cities,0,1,0
Percentage of Space for (Peri) Urban Farming in Spatial Planning,1,1,0
Food Security Measures and Strategies,1,0,1
Green Growth Indicators,1,1,0
Local Self-Sufficiency,1,0,1
Green Infrastructure,1,1,0
"Number of Urban Farms, Rooftop Gardens, Community Gardens, and Farmers' Markets",1,0,1
Parks and Accessible Pathways,0,1,1
Enhancing Urban Green Spaces,0,1,1
Percentage of Green Spaces Buildings,1,1,0
Use of Recycled and Reusable Materials in Construction,1,1,0
Integration of Nature-Based Solutions,1,1,0
Biodiversity Diversification,0,1,0
Strategies for Enhancing Urban Green Coverage and Ecosystem Connectivity,1,1,0
Evaluate Pattern of Forests and Wetlands,0,1,0
Public Transport Usage and Electrical Energy Use in Transportation,1,1,1
"Transportation Modes such as Public Transit, Biking, and Walking",1,1,0
Reduction of Reliance on Single-Occupancy Vehicles and Enhancing Urban Mobility,1,1,0
Development of Local Networks and ICT Infrastructure: ,1,1,0
Public Transport Links and Accessibility to Public Services,1,0,1
Percentage of Road Network Dedicated to Pedestrian Use,0,1,1
Cycling Infrastructure,1,1,0
Electric Vehicles,1,1,0
Walking Distance to Nearest Facilities,0,1,1
Economic Value of Property and Land,1,0,0
Incentives for Green Businesses,1,1,0
Improve Level of Sustainable Supply Chains,1,1,0
Design Activity as a Service Model,1,0,0
Design New Commercial Activities,1,0,0
Level of Export and Import of Goods and Products,1,0,0
Investments in the Recycling Process,1,1,0
Industry Development Level,1,0,0
Average Income and Equality Among Low-Income Groups,1,0,1
Adoption rates of circular products and services,1,0,0
economic growth linked to CE activities,1,0,0
level of local jobs at all skill levels,1,0,1
Job creation through circular economy practices,1,0,1
revenue generated from circular products and services,1,0,0
Product lifespan and durability,1,1,0
Engagement with local industries and startups,1,0,1
promoting community and public participation in circular practices,1,0,1
"investment in local and global market integration, enhancement of local markets",1,0,0
